name,level,category,refmet_id,biomapper_id,refmet_node,bm_node,refmet_in_kg,arm,n_candidates,bm_rank,refmet_rank,rank1_score,refmet_score,score_gap,outcome,refmet_has_RM,bm_has_RM
phenylalanine,CURATION,multi-id (biomapper ambiguous set),CHEBI:28044,CHEBI:17295|CHEBI:58095,CHEBI:16998,CHEBI:17295,True,chebi_filter,50,1,2,2.4878,2.4663,0.0216,refmet_ranked_low,True,True
phenylpropanolamine,MS1,divergent (different compound),CHEBI:8104,CHEBI:36,CHEBI:8104,CHEBI:36,True,chebi_filter,50,3,4,2.491,2.4592,0.0318,refmet_ranked_low,False,True
phenylpyruvate,CURATION,parent/child or substring (generic vs specific),CHEBI:30851,CHEBI:26008,CHEBI:30851,CHEBI:26008,True,chebi_filter,50,1,2,3.2639,2.489,0.7749,refmet_ranked_low,True,False
phosphate,CURATION,multi-id (biomapper ambiguous set),CHEBI:26078,CHEBI:18367|CHEBI:26020,CHEBI:26078,CHEBI:18367,True,chebi_filter,50,1,,2.4825,,,refmet_absent,True,False
phytanate,CURATION,parent/child or substring (generic vs specific),CHEBI:16285,CHEBI:172542,CHEBI:16285,CHEBI:172542,True,chebi_filter,50,,7,4.8932,0.8432,4.05,refmet_ranked_low,False,True
pipecolate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17964,CHEBI:36110,CHEBI:17964,CHEBI:36110,True,chebi_filter,50,1,36,4.8907,0.6136,4.2771,refmet_ranked_low,False,False
purine,MS1,parent/child or substring (generic vs specific),CHEBI:17258,CHEBI:35584,UNII:W60KTZ3IZY,CHEBI:35584,True,chebi_filter,50,1,2,3.3229,2.4881,0.8348,refmet_ranked_low,True,False
pyridoxate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:17405,CHEBI:132948,CHEBI:17405,CHEBI:132948,True,chebi_filter,50,1,,2.4199,,,refmet_absent,True,False
resveratrol,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:27881,CHEBI:45713,CHEBI:27881,CHEBI:45713,True,chebi_filter,50,1,3,2.4871,2.4051,0.082,refmet_ranked_low,False,True
ribonate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:21077,CHEBI:33527,CHEBI:21077,CHEBI:33527,True,chebi_filter,50,1,19,4.8641,0.6891,4.175,refmet_ranked_low,True,False
sepiapterin,MS1,same-molecule variant (stereo/charge/acid-anion),CHEBI:16095,CHEBI:194527,CHEBI:16095,CHEBI:194527,True,chebi_filter,50,1,2,3.1276,1.5182,1.6094,refmet_ranked_low,False,True
serine,CURATION,multi-id (biomapper ambiguous set),CHEBI:17822,CHEBI:16523|CHEBI:17115|CHEBI:33384,LM:FA01100045,CHEBI:16523,True,chebi_filter,50,1,,2.4849,,,refmet_absent,False,True
sorbate,MS2,same-molecule variant (stereo/charge/acid-anion),CHEBI:35962,CHEBI:36550,CHEBI:35962,CHEBI:36550,True,chebi_filter,50,1,,4.8693,,,refmet_absent,False,False
sphinganine-1-phosphate,CURATION,same-molecule variant (stereo/charge/acid-anion),CHEBI:16893,CHEBI:57939,CHEBI:16893,CHEBI:57939,True,chebi_filter,50,1,2,3.1585,2.4892,0.6694,refmet_ranked_low,True,False
