name,level,refmet_id,refmet_name,biomapper_id,biomapper_name,category
hexadecadienoate (16:2n6),CURATION,86147,"(7Z,10Z)-hexadecadienoic acid",78096,hexadecadienoate,same-molecule variant (stereo/charge/acid-anion)
histidine,CURATION,27570,histidine,15971|57595,L-histidine | L-histidine zwitterion,multi-id (biomapper ambiguous set)
homoarginine,CURATION,27747,L-homoarginine,24606,homoarginine,same-molecule variant (stereo/charge/acid-anion)
homocarnosine,MS1,28050,homocarnosine,85981,L-homocarnosine,same-molecule variant (stereo/charge/acid-anion)
homoserine,MS1,30653,homoserine,15699,L-homoserine,same-molecule variant (stereo/charge/acid-anion)
iminodiacetate (IDA),CURATION,24786,iminodiacetic acid,24785,iminodiacetate,same-molecule variant (stereo/charge/acid-anion)
indole-3-carboxylate,MS2,24809,indole-3-carboxylic acid,62448,indole-3-carboxylate,same-molecule variant (stereo/charge/acid-anion)
indolebutyrate,MS1,33070,indole-3-butyric acid,35581,indole,parent/child or substring (generic vs specific)
kynurenate,CURATION,18344,kynurenic acid,58454,kynurenate,same-molecule variant (stereo/charge/acid-anion)
lanthionine,CURATION,25013,lanthionine,21347,L-lanthionine,same-molecule variant (stereo/charge/acid-anion)
laurylcarnitine (C12),CURATION,77086,O-lauroyl-L-carnitine,192727,2-Hydroxyisovalerylcarnitine,divergent (different compound)
linoleate (18:2n6),CURATION,17351,linoleic acid,30245,linoleate,same-molecule variant (stereo/charge/acid-anion)
linolenic acid,MS2,25633,octadecatrienoic acid,165492|27432,Elaidolinolenic acid | alpha-linolenic acid,multi-id (biomapper ambiguous set)
lysine,CURATION,25094,lysine,133538|18019|194466|53633|61488,L-lysine zwitterion | L-lysine | L-Lysine zwitterion | L-lysine hydrochloride | poly(lysine) polymer,multi-id (biomapper ambiguous set)
lyxonate,CURATION,134538,D-lyxonic acid,145756,lyxonate,same-molecule variant (stereo/charge/acid-anion)
malate,CURATION,6650,malic acid,30797,(S)-malic acid,same-molecule variant (stereo/charge/acid-anion)
mandelate,MS2,35825,mandelic acid,25147,mandelate,same-molecule variant (stereo/charge/acid-anion)
margarate (17:0),CURATION,32365,heptadecanoic acid,32366,margarate,divergent (different compound)
menthol,MS1,15409,(-)-menthol,25187|76306,p-menthan-3-ol | (+)-menthol,multi-id (biomapper ambiguous set)
myristoylcarnitine (C14),CURATION,84634,O-tetradecanoyl-L-carnitine,178069,Myristoleoylcarnitine,divergent (different compound)
naringenin,MS1,50202,naringenin,17846,(S)-naringenin,same-molecule variant (stereo/charge/acid-anion)
nonadecenoate (19:1),CURATION,83051,(10Z)-nonadec-10-enoic acid,84965,cholesteryl nonadecenoate,parent/child or substring (generic vs specific)
octadecanedioate (C18),MS2,133086,octadecanedioic acid,133087,octadecanedioate,same-molecule variant (stereo/charge/acid-anion)
ornithine,CURATION,18257,ornithine,15729,L-ornithine,same-molecule variant (stereo/charge/acid-anion)
phenylacetylglutamine,CURATION,17884,N(2)-phenylacetyl-L-glutamine,25982,phenylacetylglutamine,parent/child or substring (generic vs specific)
phenylalanine,CURATION,28044,phenylalanine,17295|58095,L-phenylalanine | L-phenylalanine zwitterion,multi-id (biomapper ambiguous set)
phenylpropanolamine,MS1,8104,phenylpropanolamine,36,(+)-norephedrine,divergent (different compound)
phenylpyruvate,CURATION,30851,keto-phenylpyruvic acid,26008,phenylpyruvate,parent/child or substring (generic vs specific)
phosphate,CURATION,26078,phosphoric acid,18367|26020,phosphate(3-) | phosphate,multi-id (biomapper ambiguous set)
phytanate,CURATION,16285,phytanic acid,172542,"3D,7D,11D-Phytanic acid",parent/child or substring (generic vs specific)
pipecolate,CURATION,17964,pipecolic acid,36110,pipecolate,same-molecule variant (stereo/charge/acid-anion)
purine,MS1,17258,7H-purine,35584,purine,parent/child or substring (generic vs specific)
pyridoxate,CURATION,17405,4-pyridoxic acid,132948,pyridoxate,same-molecule variant (stereo/charge/acid-anion)
resveratrol,MS2,27881,resveratrol,45713,trans-resveratrol,same-molecule variant (stereo/charge/acid-anion)
ribonate,CURATION,21077,D-ribonic acid,33527,ribonate,same-molecule variant (stereo/charge/acid-anion)
sepiapterin,MS1,16095,sepiapterin,194527,L-sepiapterin,same-molecule variant (stereo/charge/acid-anion)
serine,CURATION,17822,serine,16523|17115|33384,D-serine | L-serine | L-serine zwitterion,multi-id (biomapper ambiguous set)
sorbate,MS2,35962,sorbic acid,36550,sorbate,same-molecule variant (stereo/charge/acid-anion)
sphinganine-1-phosphate,CURATION,16893,sphinganine 1-phosphate,57939,sphinganine 1-phosphate(1-),same-molecule variant (stereo/charge/acid-anion)
syringaresinol,MS2,49211,syringaresinol,47,(+)-syringaresinol,same-molecule variant (stereo/charge/acid-anion)
tagatose,MS1,47693,keto-D-tagatose,33954,tagatose,parent/child or substring (generic vs specific)
tartronate (hydroxymalonate),CURATION,16513,hydroxymalonic acid,17649,hydroxymalonate(2-),same-molecule variant (stereo/charge/acid-anion)
taurochenodeoxycholate,CURATION,16525,taurochenodeoxycholic acid,9407,taurochenodeoxycholate,same-molecule variant (stereo/charge/acid-anion)
thioproline,CURATION,64564,thioproline,45171,L-thioproline,same-molecule variant (stereo/charge/acid-anion)
threonate,CURATION,15908,L-threonic acid,15243,threonate,same-molecule variant (stereo/charge/acid-anion)
trans-urocanate,CURATION,27248,urocanic acid,30817,trans-urocanic acid,same-molecule variant (stereo/charge/acid-anion)
trehalose,MS2,27082,trehalose,16551,"alpha,alpha-trehalose",same-molecule variant (stereo/charge/acid-anion)
tryptophan,CURATION,27897,tryptophan,16828|57719|57912,L-tryptophan | D-tryptophan zwitterion | L-tryptophan zwitterion,multi-id (biomapper ambiguous set)
tyrosine,CURATION,18186,tyrosine,17895,L-tyrosine,same-molecule variant (stereo/charge/acid-anion)
undecanoate (11:0),CURATION,32368,undecanoic acid,32369,undecanoate,same-molecule variant (stereo/charge/acid-anion)
valine,CURATION,27266,valine,16414|57762,L-valine | L-valine zwitterion,multi-id (biomapper ambiguous set)
